 Rig #  Mfg                    Model                   Version         Status      Macro
  1039  Yaesu                  FT-600                  20201009.0      Stable      RIG_MODEL_FT600
  1040  Yaesu                  FTDX-101D               20221025.16     Stable      RIG_MODEL_FTDX101D
  1041  Yaesu                  FT-818                  20220419.0      Stable      RIG_MODEL_FT818
  1042  Yaesu                  FTDX-10                 20221025.3      Stable      RIG_MODEL_FTDX10
  1043  Yaesu                  FT-897D                 20220407.0      Stable      RIG_MODEL_FT897D
  1044  Yaesu                  FTDX-101MP              20221025.7      Stable      RIG_MODEL_FTDX101MP
  1045  M0NKA                  mcHF QRP                20220525.0      Stable      RIG_MODEL_MCHFQRP
  1046  Yaesu                  FT-450D                 20221025.2      Stable      RIG_MODEL_FT450
  1047  Yaesu                  FT-650                  20220525.0      Stable      RIG_MODEL_FT650
  1048  Yaesu                  FT-990 Old Rom          20220628.0      Stable      RIG_MODEL_FT990UNI
  1049  Yaesu                  FT-710                  20221025.1      Stable      RIG_MODEL_FT710
  2001  Kenwood                TS-50S                  20221021.0      Stable      RIG_MODEL_TS50
  2002  Kenwood                TS-440S                 20200407.2      Stable      RIG_MODEL_TS440
  2003  Kenwood                TS-450S                 20221021.0      Stable      RIG_MODEL_TS450S
  2004  Kenwood                TS-570D                 20221021.0      Stable      RIG_MODEL_TS570D
  2005  Kenwood                TS-690S                 20221021.0      Stable      RIG_MODEL_TS690S
  2006  Kenwood                TS-711                  20221021.0      Alpha       RIG_MODEL_TS711
  2007  Kenwood                TS-790                  20221021.0      Stable      RIG_MODEL_TS790
  2008  Kenwood                TS-811                  20221021.0      Alpha       RIG_MODEL_TS811
  2009  Kenwood                TS-850                  20221021.0      Stable      RIG_MODEL_TS850
  2010  Kenwood                TS-870S                 20221021.0      Stable      RIG_MODEL_TS870S
  2011  Kenwood                TS-940S                 20221021.0      Stable      RIG_MODEL_TS940
  2012  Kenwood                TS-950S                 20221021.1      Stable      RIG_MODEL_TS950S
  2013  Kenwood                TS-950SDX               20221021.1      Stable      RIG_MODEL_TS950SDX
  2014  Kenwood                TS-2000                 20221021.0      Stable      RIG_MODEL_TS2000
  2015  Kenwood                R-5000                  20200407.0      Stable      RIG_MODEL_R5000
  2016  Kenwood                TS-570S                 20221021.0      Stable      RIG_MODEL_TS570S
  2017  Kenwood                TH-D7A                  20200701.0      Stable      RIG_MODEL_THD7A
  2019  Kenwood                TH-F6A                  20200701.0      Stable      RIG_MODEL_THF6A
  2020  Kenwood                TH-F7E                  20200701.0      Stable      RIG_MODEL_THF7E
  2021  Elecraft               K2                      20221021.0      Stable      RIG_MODEL_K2
  2022  Kenwood                TS-930                  20221021.0      Alpha       RIG_MODEL_TS930
  2023  Kenwood                TH-G71                  20200701.0      Stable      RIG_MODEL_THG71
